SampleID	Tissue	Genotype	Treatment	Replicate	inbred	total	passed	failed	pair	pair_bad	pair_dup	pair_map	pair_map_hq	pair_map_hq0	pair_map0	pair_orphan	pair_orphan_hq	pair_orphan_hq0	pair_orphan0	pair_unmap	unpair	unpair_bad	unpair_dup	unpair_map	unpair_map_hq	unpair_map_hq0	unpair_map0	unpair_unmap	Assigned	Unassigned_MultiMapping	Unassigned_NoFeatures	Unassigned_Ambiguity	Unassigned_Unmapped
SRR7975351	leaf	PHPR5	NA	1	TRUE	12574112	12309879	264233	12309879	0	0	11345523	10876220	4913984	5098044	0	0	0	0	964356	0	0	0	0	0	0	0	0	10388128	1695455	358087	130005	964356
SRR7975352	leaf	PHN41	NA	1	TRUE	12795560	12417264	378296	12417264	0	0	9438444	8693219	3955737	4322638	0	0	0	0	2978820	0	0	0	0	0	0	0	0	8125332	3613666	467517	100370	2978820
SRR7975353	leaf	PHRE1	NA	1	TRUE	15411236	15141202	270034	15141202	0	0	14247862	13636987	5867197	6103227	0	0	0	0	893340	0	0	0	0	0	0	0	0	12962826	1881671	523962	150199	893340
SRR7975354	leaf	PHR63	NA	1	TRUE	14014194	13790353	223841	13790353	0	0	13169158	12652941	5394528	5572235	0	0	0	0	621195	0	0	0	0	0	0	0	0	12075839	1427646	428020	149082	621195
SRR7975355	leaf	PHRD6	NA	1	TRUE	18044870	17801196	243674	17801196	0	0	16501369	15793908	6641985	6889702	0	0	0	0	1299827	0	0	0	0	0	0	0	0	14814525	2266045	789351	190032	1299827
SRR7975356	leaf	Q381	NA	1	TRUE	14509229	14254576	254653	14254576	0	0	13279705	12700744	5053889	5234280	0	0	0	0	974871	0	0	0	0	0	0	0	0	11916808	1789252	628701	155235	974871
SRR7975357	leaf	LH51	NA	1	TRUE	33891985	33243566	648419	33243566	0	0	31572323	30299812	11941183	12346798	0	0	0	0	1671243	0	0	0	0	0	0	0	0	28622977	3717355	1320442	356393	1671243
SRR7975358	leaf	PHN37	NA	1	TRUE	10390647	10073193	317454	10073193	0	0	8640881	8143656	2950936	3140044	0	0	0	0	1432312	0	0	0	0	0	0	0	0	7651520	2042924	396159	95977	1432312
SRR7975359	leaf	PHJ75	NA	1	TRUE	11504030	7198381	4305649	7198381	0	0	6829189	6555315	1665380	1720586	0	0	0	0	369192	0	0	0	0	0	0	0	0	6197275	736366	285563	72477	369192
SRR7975360	leaf	PHK42	NA	1	TRUE	11396811	11090571	306240	11090571	0	0	10709744	10306e3	3786737	3897003	0	0	0	0	380827	0	0	0	0	0	0	0	0	9815514	1072468	367323	123163	380827
