SampleID	Tissue	Genotype	Treatment	Replicate	MergeID	inbred	pa1	pa2	paired	spots	avgLength
bm256	Endosperm	PHW65xB73	""	1	m240	FALSE	PHW65	B73	TRUE	32822144	302
bm257	Endosperm	PHW65xMo17	""	1	m241	FALSE	PHW65	Mo17	TRUE	50621700	302
bm258	Endosperm	PHW65xPH207	""	1	m242	FALSE	PHW65	PH207	TRUE	47425903	302
bm259	Endosperm	Q381xMo17	""	1	m243	FALSE	Q381	Mo17	TRUE	39132590	302
bm260	Endosperm	Q381xPH207	""	1	m244	FALSE	Q381	PH207	TRUE	42781794	302
bm261	Endosperm	W64AxPH207	""	1	m245	FALSE	W64A	PH207	TRUE	49424782	302
bm262	Leaf	B84xB73	""	1	m246	FALSE	B84	B73	TRUE	39257361	302
bm263	Leaf	B84xMo17	""	1	m247	FALSE	B84	Mo17	TRUE	33781421	302
bm264	Leaf	DKFAPWxB73	""	1	m248	FALSE	DKFAPW	B73	TRUE	35125274	302
bm265	Leaf	DKFAPWxMo17	""	1	m249	FALSE	DKFAPW	Mo17	TRUE	33605843	302
bm266	Leaf	H99xB73	""	1	m250	FALSE	H99	B73	TRUE	40618032	302
bm267	Leaf	H99xMo17	""	1	m251	FALSE	H99	Mo17	TRUE	32787466	302
bm268	Leaf	LH123HTxB73	""	1	m252	FALSE	LH123HT	B73	TRUE	34866024	302
bm269	Leaf	LH123HTxMo17	""	1	m253	FALSE	LH123HT	Mo17	TRUE	42264150	302
bm270	Leaf	LH145xB73	""	1	m254	FALSE	LH145	B73	TRUE	30594145	302
bm271	Leaf	LH156xB73	""	1	m255	FALSE	LH156	B73	TRUE	34849745	302
bm272	Leaf	LH156xMo17	""	1	m256	FALSE	LH156	Mo17	TRUE	33725194	302
bm273	Leaf	LH85xB73	""	1	m257	FALSE	LH85	B73	TRUE	35756130	302
bm274	Leaf	LH93xB73	""	1	m258	FALSE	LH93	B73	TRUE	28397969	302
bm275	Leaf	LH93xMo17	""	1	m259	FALSE	LH93	Mo17	TRUE	33025776	302
bm276	Leaf	Mo17xB73	""	1	m260	FALSE	Mo17	B73	TRUE	33134974	302
bm277	Leaf	Mo17xOh43	""	1	m261	FALSE	Mo17	Oh43	TRUE	35951207	302
bm278	Leaf	Mo17xPH207	""	1	m262	FALSE	Mo17	PH207	TRUE	31927512	302
bm279	Leaf	Mo44xB73	""	1	m263	FALSE	Mo44	B73	TRUE	34237192	302
bm280	Leaf	Mo45xB73	""	1	m264	FALSE	Mo45	B73	TRUE	31697155	302
bm281	Leaf	Mo45xMo17	""	1	m265	FALSE	Mo45	Mo17	TRUE	31383178	302
