SampleID	Tissue	Genotype	Treatment	Replicate	inbred	total	surviving	surviving_f	surviving_r	dropped	uniquely_mapped	multimapped	unmapped	Assigned	Unassigned_MultiMapping	Unassigned_NoFeatures	Unassigned_Ambiguity	Unassigned_Unmapped
bm289	Internode	Mo45xB73	NA	1	FALSE	32794931	30007883	2747164	28236	11648	30840082	1077249	865952	26580060	2319177	1287925	353495	957122
bm290	Seedling	Mo45xB73	NA	1	FALSE	35650357	31635066	3968623	32324	14344	33380860	1412109	843044	28255357	2956270	1007678	366584	976491
bm291	Leaf	Mo45xB73	NA	1	FALSE	31697155	28099393	3554418	32104	11240	28548830	1504655	1632430	23273086	3291474	1749945	278974	1769521
bm292	Root	Mo45xB73	NA	1	FALSE	33306112	30134240	3121527	35518	14827	30842479	1085140	1363666	54886410	0	3083307	765032	2931473
bm293	Endosperm	Mo45xB73	NA	1	FALSE	41288512	36783045	4460545	34075	10847	36879372	3159755	1238538	29475855	8113156	2825790	531530	1311515
bm294	Internode	Mo45xMo17	NA	1	FALSE	32223184	29524442	2663456	24471	10815	30125352	1314431	772586	53857474	0	3125592	756296	1934567
bm295	Endosperm	Mo45xMo17	NA	1	FALSE	30571063	27642067	2888110	27482	13404	26892892	2913798	750969	21717772	7154041	2184280	421385	906364
bm296	Leaf	Mo45xMo17	NA	1	FALSE	31383178	27488151	3849589	33156	12282	29130666	1288974	951256	24015644	2966462	1179272	300704	991577
bm297	Root	Mo45xMo17	NA	1	FALSE	33977455	30038465	3889071	34249	15670	30965383	1665511	1330891	25489448	3618986	1481885	375086	1499262
bm298	Seedling	Mo45xMo17	NA	1	FALSE	29908309	25684139	4189800	23932	10438	27099979	1235441	1562451	47150975	0	2455121	718339	3185702
bm299	Endosperm	Mo45xPH207	NA	1	FALSE	43046173	38213413	4783748	36076	12936	37355594	4443263	1234380	29236279	11026525	3412433	476106	1518973
bm300	Endosperm	MoGxB73	NA	1	FALSE	35525651	33031088	2453605	30518	10440	32327373	2370925	816913	27858212	7113938	1843979	337776	883910
bm301	Internode	MoGxB73	NA	1	FALSE	32435057	29626287	2771657	26419	10694	30695863	1090517	637983	26359640	2334873	1327185	347064	768786
bm302	Leaf	MoGxB73	NA	1	FALSE	28148264	24114930	3994578	27467	11289	25022303	1327372	1787300	19276244	3529407	1928297	219918	1686278
bm303	Root	MoGxB73	NA	1	FALSE	33869811	30333260	3490227	32719	13605	31344892	1075299	1436015	26550347	2423716	1185020	326004	1447288
bm304	Seedling	MoGxB73	NA	1	FALSE	30902030	26628403	4244354	19760	9513	28880190	1217556	794771	23558797	2779229	987585	313733	841525
