Sample	total_reads	avg_input_read_length	uniquely_mapped	uniquely_mapped_percent	avg_mapped_read_length	num_splices	num_annotated_splices	num_GTAG_splices	num_GCAG_splices	num_ATAC_splices	num_noncanonical_splices	mismatch_rate	deletion_rate	deletion_length	insertion_rate	insertion_length	multimapped	multimapped_percent	multimapped_toomany	multimapped_toomany_percent	unmapped_mismatches_percent	unmapped_tooshort_percent	unmapped_other_percent	unmapped_mismatches	unmapped_tooshort	unmapped_other
SRR516817	30419497.0	100.0	27974158.0	91.96	100.89	10242693.0	9867013.0	10093810.0	126706.0	8509.0	13668.0	0.34	0.03	2.8	0.02	2.12	1438657.0	4.73	158153.0	0.52	0.0	2.7	0.09	0	821157	27372
SRR516818	27474095.0	100.0	25280364.0	92.02	101.01	9460351.0	9130260.0	9316590.0	119603.0	8933.0	15225.0	0.4	0.04	2.77	0.03	2.2	1459443.0	5.31	239831.0	0.87	0.0	1.63	0.17	0	447758	46699
SRR611202	29450979.0	100.0	27155309.0	92.21	100.69	10389977.0	10036134.0	10237138.0	129882.0	9116.0	13841.0	0.34	0.03	2.74	0.02	2.12	1512077.0	5.13	226711.0	0.77	0.0	1.73	0.16	0	509739	47143
SRR611203	27829374.0	100.0	25572205.0	91.89	100.59	9731254.0	9395665.0	9587717.0	122896.0	8667.0	11974.0	0.31	0.02	2.73	0.02	2.05	1391468.0	5.0	233684.0	0.84	0.0	2.12	0.15	0	590254	41763
SRR611204	33766479.0	92.0	31127270.0	92.18	92.55	11064747.0	10694347.0	10900987.0	140486.0	10102.0	13172.0	0.31	0.02	2.58	0.02	1.95	1922518.0	5.69	287864.0	0.85	0.0	1.05	0.22	0	354542	74285
SRR611205	28384504.0	100.0	26260375.0	92.52	100.34	10009019.0	9668360.0	9858516.0	127625.0	9441.0	13437.0	0.39	0.03	2.74	0.02	2.2	1492506.0	5.26	245120.0	0.86	0.0	1.2	0.16	0	341032	45471
SRR611206	29213508.0	100.0	26747340.0	91.56	100.38	10207932.0	9849959.0	10056510.0	129396.0	9166.0	12860.0	0.35	0.03	2.66	0.02	2.13	1487723.0	5.09	282979.0	0.97	0.0	2.22	0.16	0	648712	46754
SRR611207	32443880.0	100.0	29908783.0	92.19	100.33	11458158.0	11062852.0	11289032.0	143276.0	10012.0	15838.0	0.36	0.03	2.73	0.02	2.12	1672828.0	5.16	292889.0	0.9	0.0	1.61	0.14	0	523830	45550
SRR611208	34999551.0	96.0	32312741.0	92.32	96.8	12160250.0	11759390.0	11981222.0	154425.0	11162.0	13441.0	0.29	0.02	2.52	0.02	1.92	1849633.0	5.28	397303.0	1.14	0.0	1.06	0.19	0	373013	66861
SRR611209	22138295.0	93.0	20341794.0	91.89	93.77	7262789.0	7019502.0	7153959.0	92166.0	6475.0	10189.0	0.39	0.03	2.67	0.02	2.14	1245262.0	5.62	215384.0	0.97	0.0	1.31	0.2	0	291371	44484
