SampleID	Tissue	Genotype	Treatment	Replicate	total	passed	failed	pair	pair_bad	pair_dup	pair_map	pair_map_hq	pair_map_hq0	pair_map0	pair_orphan	pair_orphan_hq	pair_orphan_hq0	pair_orphan0	pair_unmap	unpair	unpair_bad	unpair_dup	unpair_map	unpair_map_hq	unpair_map_hq0	unpair_map0	unpair_unmap	Assigned	Unassigned_MultiMapping	Unassigned_NoFeatures	Unassigned_Ambiguity	Unassigned_Unmapped
H02	leaf_2	Mo17	day10_4pm_cold	2	5171073	5111456	59617	0	0	0	0	0	0	0	0	0	0	0	0	5111456	0	0	4360812	3884030	1767154	1987487	750644	2662069	0	1153238	68723	750644
H03	leaf_2	Mo17	day10_4pm_cold	3	6126041	6023066	102975	0	0	0	0	0	0	0	0	0	0	0	0	6023066	0	0	4911077	4246104	1982618	2283547	1111989	3019884	0	1139934	86286	1111989
H04	leaf_2	Mo17	day11_4pm_control	3	12630	11559	1071	0	0	0	0	0	0	0	0	0	0	0	0	11559	0	0	10302	9303	4873	5426	1257	6789	0	2367	147	1257
H05	leaf_2	Mo17	day12_4pm_cold	2	4507985	4474133	33852	0	0	0	0	0	0	0	0	0	0	0	0	4474133	0	0	4026485	3664515	1662934	1839313	447648	2663043	0	930543	70929	447648
H06	leaf_2	Mo17	day15_4pm_cold	3	2230076	2179823	50253	0	0	0	0	0	0	0	0	0	0	0	0	2179823	0	0	1937372	1646916	751926	907274	242451	1228010	0	384247	34659	242451
H07	leaf_3	Mo17	day15_4pm_cold	1	4624801	4545684	79117	0	0	0	0	0	0	0	0	0	0	0	0	4545684	0	0	3880680	3643304	1662028	1764961	665004	2595710	0	966792	80802	665004
H08	leaf_2	Mo17	day9_4pm_control	3	6638572	6581324	57248	0	0	0	0	0	0	0	0	0	0	0	0	6581324	0	0	5937116	5369383	2488333	2762152	644208	3856056	0	1411658	101669	644208
H09	leaf_2	Mo17	day11_11am_control	3	7376732	7301128	75604	0	0	0	0	0	0	0	0	0	0	0	0	7301128	0	0	6416316	5743576	2662108	2988804	884812	4283833	0	1349006	110737	884812
H10	leaf_2	B73	day11_2pm_cold	1	6619274	6423943	195331	0	0	0	0	0	0	0	0	0	0	0	0	6423943	0	0	5985152	5567532	3849141	4103442	438791	4162943	0	1274539	130050	438791
H11	leaf_2	Mo17	day12_4pm_cold	3	5581243	5515307	65936	0	0	0	0	0	0	0	0	0	0	0	0	5515307	0	0	4897271	4584835	2113115	2245920	618036	3371755	0	1133424	79656	618036
