SampleID	Tissue	Genotype	Treatment	Replicate	paired	r0	r1	r2
mBR599	leaf_V2	B73xMo17	m	3	PE		/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191023_A00223_0238_BHG57FDRXX/Springer_Project_065_Pool8/mBR599_S44_R1_001.fastq.gz	/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191023_A00223_0238_BHG57FDRXX/Springer_Project_065_Pool8/mBR599_S44_R2_001.fastq.gz
mBR600	leaf_V2	B73xMo17	m	4	PE		/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191023_A00223_0238_BHG57FDRXX/Springer_Project_065_Pool8/mBR600_S45_R1_001.fastq.gz	/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191023_A00223_0238_BHG57FDRXX/Springer_Project_065_Pool8/mBR600_S45_R2_001.fastq.gz
mBR602	leaf_V2	Mo17xB73	m	2	PE		/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191023_A00223_0238_BHG57FDRXX/Springer_Project_065_Pool8/mBR602_S46_R1_001.fastq.gz	/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191023_A00223_0238_BHG57FDRXX/Springer_Project_065_Pool8/mBR602_S46_R2_001.fastq.gz
mBR603	leaf_V2	Mo17xB73	m	3	PE		/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191023_A00223_0238_BHG57FDRXX/Springer_Project_065_Pool8/mBR603_S47_R1_001.fastq.gz	/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191023_A00223_0238_BHG57FDRXX/Springer_Project_065_Pool8/mBR603_S47_R2_001.fastq.gz
mBR604	leaf_V2	Mo17xB73	m	4	PE		/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191023_A00223_0238_BHG57FDRXX/Springer_Project_065_Pool8/mBR604_S48_R1_001.fastq.gz	/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191023_A00223_0238_BHG57FDRXX/Springer_Project_065_Pool8/mBR604_S48_R2_001.fastq.gz
mBR606	leaf_V2	B84xB73	m	2	PE		/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191023_A00223_0238_BHG57FDRXX/Springer_Project_065_Pool8/mBR606_S49_R1_001.fastq.gz	/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191023_A00223_0238_BHG57FDRXX/Springer_Project_065_Pool8/mBR606_S49_R2_001.fastq.gz
mBR607	leaf_V2	B84xB73	m	3	PE		/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191023_A00223_0238_BHG57FDRXX/Springer_Project_065_Pool8/mBR607_S50_R1_001.fastq.gz	/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191023_A00223_0238_BHG57FDRXX/Springer_Project_065_Pool8/mBR607_S50_R2_001.fastq.gz
mBR608	leaf_V2	B84xB73	m	4	PE		/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191023_A00223_0238_BHG57FDRXX/Springer_Project_065_Pool8/mBR608_S51_R1_001.fastq.gz	/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191023_A00223_0238_BHG57FDRXX/Springer_Project_065_Pool8/mBR608_S51_R2_001.fastq.gz
mBR610	leaf_V2	B84xMo17	m	2	PE		/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191023_A00223_0238_BHG57FDRXX/Springer_Project_065_Pool8/mBR610_S52_R1_001.fastq.gz	/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191023_A00223_0238_BHG57FDRXX/Springer_Project_065_Pool8/mBR610_S52_R2_001.fastq.gz
mBR611	leaf_V2	B84xMo17	m	3	PE		/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191023_A00223_0238_BHG57FDRXX/Springer_Project_065_Pool8/mBR611_S53_R1_001.fastq.gz	/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191023_A00223_0238_BHG57FDRXX/Springer_Project_065_Pool8/mBR611_S53_R2_001.fastq.gz
